order_item_id,order_id,product_id,quantity,unit_price,item_total,customer_id,order_date,status,customer_name,city,state,signup_date,product_name,category,price,order_month,is_valid_sale
1,4499,260,1,2918.97,2918.97,1076,2024-11-11 15:41:09,pending,Davi Lucca Pimenta,da Mota Paulista,AC,2021-05-03,Bicicleta 314,Esporte,2667.76,2024-11,True
2,4916,105,5,980.11,4900.55,2967,2025-05-18 06:54:43,delivered,Dra. Marina Cunha,das Neves,SP,2023-04-15,Ração 762,Beleza,1043.44,2025-05,True
3,5467,3,2,1533.14,3066.28,2527,2024-10-24 12:53:48,shipped,Luiza Martins,Sousa,BA,2022-06-17,Mouse 318,Eletrônicos,1676.67,2024-10,True
4,6140,225,5,2945.05,14725.25,998,2025-12-07 06:37:42,shipped,Oliver Cavalcanti,Rocha,MA,2021-04-22,Coleira 715,Casa,2806.01,2025-12,True
5,7963,205,1,2835.27,2835.27,2492,2024-02-25 08:59:14,delivered,Heloisa Barbosa,Camargo,CE,2025-07-23,Liquidificador 892,Informática,2892.99,2024-02,True
6,4466,178,4,3262.78,13051.12,2479,2025-03-13 02:48:26,pending,Gabriel Borges,Pastor Verde,PI,2024-03-05,Shampoo 528,Mercado,3380.21,2025-03,True
7,9598,9,2,1306.98,2613.96,1745,2025-05-25 14:15:54,pending,Enzo Peixoto,Sampaio Grande,MA,2023-05-04,Sabonete 240,Esporte,1348.78,2025-05,True
8,7167,202,4,2525.54,10102.16,1061,2024-01-19 08:35:58,delivered,Antony Casa Grande,Ribeiro de Lopes,BA,2021-03-10,Smartphone 937,Livros,2780.88,2024-01,True
9,6602,137,2,1367.13,2734.26,2383,2025-03-07 22:59:19,delivered,Enrico Gonçalves,Albuquerque Verde,PR,2023-10-24,Boneca 905,Sem categoria,1258.54,2025-03,True
10,5452,254,2,977.99,1955.98,528,2024-08-24 13:04:08,canceled,Benjamim Viana,Monteiro,MG,2023-05-12,Almofada 642,Brinquedos,1054.77,2024-08,False
11,4898,203,5,1875.26,9376.3,2162,2024-08-15 08:26:27,shipped,Agatha Duarte,Aragão,BA,2021-12-16,Liquidificador 963,Esporte,1728.29,2024-08,True
12,9819,294,2,2492.89,4985.78,2106,2024-10-17 09:46:42,paid,Isabela Porto,Mendes do Galho,RO,2022-03-03,Livro 192,Casa,2731.65,2024-10,True
13,5719,272,4,3710.38,14841.52,2731,2024-03-13 18:38:23,delivered,Júlia Mendonça,Brito,ES,2021-11-03,Bola 450,Casa,3486.54,2024-03,True
14,2516,228,5,935.9,4679.5,2615,2025-12-22 17:34:44,pending,Ian da Costa,Ramos,RO,2025-05-12,Almofada 570,Livros,893.22,2025-12,True
15,2797,187,1,1183.06,1183.06,1180,2025-07-24 00:33:25,pending,Dra. Daniela Castro,Camargo,AL,2021-08-02,Luminária 364,Pet,1129.33,2025-07,True
16,3564,183,5,1728.36,8641.8,1692,2025-05-24 22:44:12,shipped,Anthony Rodrigues,Ribeiro,BA,2022-09-19,Monitor 875,Moda,1579.9,2025-05,True
17,8145,126,4,225.96,903.84,345,2024-09-11 23:07:45,delivered,Théo Carvalho,Pimenta Alegre,CE,2021-10-14,Livro 192,Eletrônicos,210.75,2024-09,True
18,8996,175,2,2519.11,5038.22,384,2025-12-06 08:09:02,delivered,Anna Liz Moura,Moura de Santos,MS,2022-07-05,Webcam 187,Moda,2343.47,2025-12,True
19,6329,46,2,1008.53,2017.06,801,2024-07-11 11:33:26,delivered,Mariane da Conceição,Vieira de Vargas,MG,2023-01-16,Cafeteira 165,Mercado,1764.61,2024-07,True
20,9951,214,3,1236.33,3708.99,1506,2025-08-24 09:58:03,delivered,Davi Lucca Vieira,Correia,PI,2023-11-02,Webcam 380,Beleza,1298.71,2025-08,True
21,8389,204,3,805.82,2417.46,912,2025-02-05 05:43:02,shipped,Jade Aragão,Câmara de Minas,AC,2025-09-08,Webcam 989,Moda,809.43,2025-02,True
22,42,148,4,20.43,81.72,2083,2025-03-12 18:38:20,paid,Maria Eduarda Rocha,Garcia de Duarte,PB,2023-04-30,Cafeteira 837,Moda,19.46,2025-03,True
