customer_id,customer_name,city,state,signup_date
1,Brenda Alves,da Cruz de Goiás,BA,2021-12-12
2,Srta. Ísis Borges,Andrade do Sul,AP,2021-03-19
3,Igor Montenegro,Novais,DF,2023-05-05
4,Dra. Ísis Leão,Machado,RJ,2023-01-31
5,André Teixeira,Sampaio,PA,2022-11-25
6,Dr. Eduardo Cunha,Caldeira de Minas,MG,2022-03-10
7,Luiz Henrique Ferreira,Aparecida dos Dourados,PI,2021-11-15
8,Marcos Vinicius Barros,Pires da Praia,RJ,2025-08-22
9,Bernardo Aparecida,Vargas,MA,2021-09-28
10,Igor Brito,da Mota dos Dourados,RS,2024-08-03
11,Sr. Léo Fogaça,Rios,GO,2021-04-09
12,Dra. Ana Sophia Pereira,Nascimento,SC,2021-04-03
13,Enrico Martins,da Mata da Prata,ES,2021-10-19
14,Lunna Vargas,da Conceição,TO,2022-11-11
15,Levi Guerra,Azevedo do Oeste,RJ,2022-12-24
16,Sra. Hadassa Rezende,Gonçalves de Ramos,PB,2025-04-20
17,João Carvalho,Souza,PI,2021-03-24
18,Julia Souza,Pacheco das Flores,MS,2025-10-10
19,Davi Miguel Moraes,Borges de Sá,AL,2022-09-10
20,Eduardo Pires,Vieira,RO,2025-08-21
21,Ana Luiza Gomes,Peixoto dos Dourados,PE,2024-07-27
22,Yuri Albuquerque,Rodrigues,PI,2022-11-16
23,Luigi Camargo,Lopes da Serra,PB,2024-10-27
24,João Montenegro,Montenegro,AM,2023-05-15
25,Letícia Porto,Cassiano,MS,2021-01-21
26,Vitor Hugo Vasconcelos,Peixoto,MT,2022-05-12
27,Allana Camargo,das Neves de Goiás,AL,2024-08-06
28,Bruno Barros,Azevedo de Teixeira,PI,2023-11-24
29,Davi Lucas Ribeiro,Novaes de Cavalcante,GO,2023-05-14
30,Mariana Cunha,Silva,MA,2022-04-29
31,Maria Fernanda Macedo,Campos de da Cruz,ES,2022-10-31
32,Lucca Almeida,Pastor,ES,2023-11-12
33,Brayan Santos,da Conceição,AP,2021-11-14
34,Lucas Barbosa,da Mota,RO,2021-10-16
35,Hadassa Nogueira,Silveira,RJ,2024-03-26
36,Olívia da Cruz,Jesus de Correia,AM,2021-10-28
37,Pedro Fogaça,Jesus dos Dourados,SC,2024-01-21
38,Carlos Eduardo Araújo,Siqueira Alegre,SE,2023-12-05
39,Josué Correia,Nascimento,PB,2023-04-02
40,Otávio Cirino,Martins de Goiás,AP,2021-05-15
41,Beatriz Aragão,Borges,SP,2024-11-28
42,Enzo Jesus,Mendes de Cunha,MG,2025-07-25
43,Enzo Garcia,Gomes,GO,2022-01-23
44,Laura Lima,Cassiano de Correia,MA,2024-03-22
45,Benjamin Pacheco,Souza,MT,2021-09-02
46,Benicio Pacheco,Montenegro de Moura,CE,2025-09-12
47,Thomas Barros,Azevedo,RN,2023-06-30
48,Isaac Guerra,Nunes,ES,2024-01-29
49,Ana Cecília Pinto,Leão,RO,2025-11-29
50,Stephany Dias,Costela Alegre,ES,2022-08-21
51,Miguel Cardoso,Marques Alegre,SP,2021-08-05
52,Anthony Marques,Barbosa,PI,2021-05-23
53,Thiago da Luz,,AP,2022-12-10
54,Léo da Paz,Macedo,TO,2023-06-19
55,Liz Pimenta,Rios,TO,2021-09-05
56,Letícia Ribeiro,Carvalho,GO,2022-12-25
57,Cauê Souza,da Mata,MA,2021-11-10
58,Giovanna Silva,Costela Paulista,PE,2024-03-27
59,Isis Aragão,Porto,PA,2023-05-14
60,Augusto Abreu,Vargas Grande,RS,2024-11-09
61,Enrico Sousa,Novaes de Santos,PA,2024-02-08
62,Alexia Camargo,Sales,BA,2022-05-21
63,Ana Carolina Freitas,Lopes,BA,2024-02-25
64,Leandro Fonseca,Fogaça,DF,2024-01-09
65,Isadora Rios,Fogaça,SP,2022-10-13
66,Maria Luísa Pinto,da Costa,CE,2023-04-10
67,Noah Alves,Sousa,MT,2021-08-10
68,Isadora da Mata,Viana,RR,2022-06-16
69,Mateus Andrade,Câmara de Costa,TO,2025-07-18
70,Marcela das Neves,Câmara,AC,2023-01-31
71,Evelyn Guerra,da Mota de Minas,SP,2022-05-23
72,Luiz Fernando Ramos,Rocha da Prata,MT,2024-12-07
73,Danilo da Luz,Pacheco,GO,2024-03-24
74,Cauê Peixoto,Ferreira Alegre,PA,2023-04-19
75,Sophia Camargo,Oliveira do Oeste,GO,2025-09-27
76,Pedro Henrique Abreu,Fonseca,PA,2022-11-14
77,Lucas Pinto,Ribeiro do Campo,SC,2023-10-05
78,Thiago das Neves,Duarte das Flores,RR,2021-06-23
79,Yuri Cardoso,Leão,RO,2022-12-13
80,Emanuella Pimenta,Guerra da Prata,TO,2021-04-10
81,Kevin da Paz,Lopes,SE,2023-09-08
82,Luna Martins,Macedo de Rocha,DF,2024-05-31
83,Olívia Vieira,Ribeiro,AP,2023-04-12
84,Théo Ribeiro,Borges de Goiás,RO,2021-07-25
85,Henry Gabriel Costa,Alves,AL,2022-10-18
86,Renan Pimenta,Marques,PA,2025-10-29
87,Evelyn Silva,Monteiro das Flores,ES,2023-09-05
88,André Sá,Vasconcelos,PA,2022-10-23
89,Felipe Sampaio,Aragão de Novais,ES,2025-04-01
90,Rafael Carvalho,Rios de Moura,PI,2024-05-14
91,Luiza Sá,Pimenta de Silveira,PE,2024-11-26
92,Melissa Castro,Machado de da Luz,SP,2022-03-20
93,João Guilherme Vargas,Pires de da Costa,GO,2023-04-03
94,Ana Vitória Silva,da Costa Paulista,MT,2022-03-10
95,Sr. Davi Miguel Cassiano,Gomes,RR,2023-02-06
96,Heitor Azevedo,Jesus Alegre,PI,2025-10-11
97,Maria Vitória Araújo,Leão,MG,2025-08-02
98,Alícia Teixeira,Mendes do Sul,MS,2023-03-28
99,Mathias Leão,Mendonça,ES,2025-12-22
100,Pedro Henrique Mendonça,Gomes,MT,2024-08-24
101,Maria Luiza Silveira,Martins,BA,2025-12-18
102,Yasmin Alves,Pastor Verde,RO,2024-05-25
103,Bryan Ramos,Carvalho dos Dourados,CE,2024-01-30
104,José Pedro Garcia,Cunha dos Dourados,MT,2022-11-13
105,Dr. João Lucas Sá,da Cunha de Minas,PR,2022-03-06
106,Vitor Hugo Aragão,Câmara de Minas,SP,2025-05-03
107,Ana Cecília Sá,da Cruz,DF,2025-03-14
108,Eduardo da Costa,Melo,RO,2021-10-10
109,Henrique Martins,Vargas da Praia,CE,2021-05-27
110,Bruna Vasconcelos,das Neves,AM,2021-12-07
111,Amanda das Neves,Gonçalves do Oeste,AP,2022-04-20
112,Isabelly Caldeira,Rodrigues do Campo,SE,2022-05-13
113,Ana Cecília Ferreira,Ribeiro da Praia,AP,2024-08-04
